County,County Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,MCD - Drug/Alcohol Induced Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate
"Baldwin County, AL",1003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,70,253507,27.6
"Baldwin County, AL",1003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,70,253507,27.6
"Bibb County, AL",1007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,21868,Unreliable
"Bibb County, AL",1007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,21868,Unreliable
"Blount County, AL",1009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,59816,Unreliable
"Blount County, AL",1009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,18,59816,Unreliable
"Bullock County, AL",1011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,9897,Unreliable
"Bullock County, AL",1011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,9897,Unreliable
"Calhoun County, AL",1015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,58,116429,49.8
"Calhoun County, AL",1015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,47,116429,40.4
"Calhoun County, AL",1015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,58,116429,49.8
"Chambers County, AL",1017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,34079,Unreliable
"Chambers County, AL",1017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,34079,Unreliable
"Chilton County, AL",1021,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,46431,Unreliable
"Chilton County, AL",1021,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,15,46431,Unreliable
"Colbert County, AL",1033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,58361,41.1
"Colbert County, AL",1033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,11,58361,Unreliable
"Colbert County, AL",1033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,24,58361,41.1
"Cullman County, AL",1043,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,92016,31.5
"Cullman County, AL",1043,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,11,92016,Unreliable
"Cullman County, AL",1043,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,29,92016,31.5
"Dallas County, AL",1047,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,36165,Unreliable
"Dallas County, AL",1047,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,12,36165,Unreliable
"DeKalb County, AL",1049,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,72569,Unreliable
"DeKalb County, AL",1049,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,11,72569,Unreliable
"DeKalb County, AL",1049,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,15,72569,Unreliable
"Elmore County, AL",1051,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,90441,22.1
"Elmore County, AL",1051,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,20,90441,22.1
"Escambia County, AL",1053,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,36558,Unreliable
"Escambia County, AL",1053,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,36558,Unreliable
"Etowah County, AL",1055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,103241,35.8
"Etowah County, AL",1055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,37,103241,35.8
"Houston County, AL",1069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,108462,Unreliable
"Houston County, AL",1069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,11,108462,Unreliable
"Houston County, AL",1069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,12,108462,Unreliable
"Jackson County, AL",1071,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,53467,Unreliable
"Jackson County, AL",1071,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,11,53467,Unreliable
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,405,662895,61.1
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,196,662895,29.6
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,36,662895,5.4
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,20,662895,3
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,405,662895,61.1
"Jefferson County, AL",1073,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,36,662895,5.4
"Jefferson County, AL",1073,Drug-induced causes,D,All other drug-induced causes,D9,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,18,662895,Unreliable
"Lauderdale County, AL",1077,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,96814,24.8
"Lauderdale County, AL",1077,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,24,96814,24.8
"Lee County, AL",1081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,31,183215,16.9
"Lee County, AL",1081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,18,183215,Unreliable
"Lee County, AL",1081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,31,183215,16.9
"Limestone County, AL",1083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,114654,Unreliable
"Limestone County, AL",1083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,114654,Unreliable
"Madison County, AL",1089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,100,412600,24.2
"Madison County, AL",1089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,72,412600,17.5
"Madison County, AL",1089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,100,412600,24.2
"Marshall County, AL",1095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,100756,22.8
"Marshall County, AL",1095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,23,100756,22.8
"Mobile County, AL",1097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,127,411640,30.9
"Mobile County, AL",1097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,41,411640,10
"Mobile County, AL",1097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,14,411640,Unreliable
"Mobile County, AL",1097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,127,411640,30.9
"Montgomery County, AL",1101,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,224980,15.1
"Montgomery County, AL",1101,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,17,224980,Unreliable
