State,State Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,MCD - Drug/Alcohol Induced Cause,MCD - Drug/Alcohol Induced Cause Code,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15-19 years,15-19,2019,2019,10,313615,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15-19 years,15-19,2020,2020,11,310127,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15-19 years,15-19,2021,2021,17,323584,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15-19 years,15-19,2022,2022,13,334114,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15-19 years,15-19,2023,2023,18,344879,Unreliable
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,20-24 years,20-24,2018,2018,35,325220,10.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,20-24 years,20-24,2019,2019,40,322092,12.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,20-24 years,20-24,2020,2020,60,323264,18.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,20-24 years,20-24,2021,2021,72,329131,21.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,20-24 years,20-24,2022,2022,66,355450,18.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,20-24 years,20-24,2023,2023,57,340723,16.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-29 years,25-29,2018,2018,77,340014,22.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-29 years,25-29,2019,2019,66,338138,19.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-29 years,25-29,2020,2020,89,331899,26.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-29 years,25-29,2021,2021,141,324499,43.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-29 years,25-29,2022,2022,137,321108,42.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25-29 years,25-29,2023,2023,139,319740,43.5
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30-34 years,30-34,2018,2018,85,303526,28
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30-34 years,30-34,2019,2019,117,309091,37.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30-34 years,30-34,2020,2020,130,318647,40.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30-34 years,30-34,2021,2021,179,331924,53.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30-34 years,30-34,2022,2022,208,336797,61.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30-34 years,30-34,2023,2023,185,341055,54.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-39 years,35-39,2018,2018,109,303994,35.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-39 years,35-39,2019,2019,98,304145,32.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-39 years,35-39,2020,2020,148,302872,48.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-39 years,35-39,2021,2021,213,312505,68.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-39 years,35-39,2022,2022,194,311105,62.4
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,35-39 years,35-39,2023,2023,243,315596,77
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,40-44 years,40-44,2018,2018,93,288308,32.3
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,40-44 years,40-44,2019,2019,92,289161,31.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,40-44 years,40-44,2020,2020,146,293490,49.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,40-44 years,40-44,2021,2021,219,308820,70.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,40-44 years,40-44,2022,2022,233,310743,75
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,40-44 years,40-44,2023,2023,248,315601,78.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-49 years,45-49,2018,2018,79,312966,25.2
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-49 years,45-49,2019,2019,70,308951,22.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-49 years,45-49,2020,2020,116,302481,38.3
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-49 years,45-49,2021,2021,142,301395,47.1
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-49 years,45-49,2022,2022,150,296419,50.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,45-49 years,45-49,2023,2023,192,297326,64.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50-54 years,50-54,2018,2018,72,314492,22.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50-54 years,50-54,2019,2019,67,307665,21.8
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50-54 years,50-54,2020,2020,86,305693,28.1
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50-54 years,50-54,2021,2021,128,320799,39.9
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50-54 years,50-54,2022,2022,161,321378,50.1
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50-54 years,50-54,2023,2023,160,321637,49.7
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,55-59 years,55-59,2018,2018,56,336811,16.6
Alabama,1,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug poisonings (overdose) Unintentional (X40-X44),D1,55-59 years,55-59,2019,2019,54,336320,16.1
